id,name,shirtNumber,positionId,position,club,link
308439,Patrick Berg,7,3,Midfield,Bodø/Glimt,/patrick-berg/profil/spieler/308439
422355,Jens Petter Hauge,10,4,Forward,Bodø/Glimt,/jens-petter-hauge/profil/spieler/422355
912959,Fredrik Sjøvold,20,2,Defender,Bodø/Glimt,/fredrik-sjovold/profil/spieler/912959
394688,Håkon Evjen,26,3,Midfield,Bodø/Glimt,/hakon-evjen/profil/spieler/394688
502558,Odin Bjørtuft,4,2,Defender,Bodø/Glimt,/odin-bjortuft/profil/spieler/502558
644607,Ole Didrik Blomberg,11,4,Forward,Bodø/Glimt,/ole-didrik-blomberg/profil/spieler/644607
364938,Fredrik Bjørkan,15,2,Defender,Bodø/Glimt,/fredrik-bjorkan/profil/spieler/364938
255440,Nikita Haikin,12,1,Goalkeeper,Bodø/Glimt,/nikita-haikin/profil/spieler/255440
581112,Sondre Auklend,8,3,Midfield,Bodø/Glimt,/sondre-auklend/profil/spieler/581112
432694,Joshua Kitolano,16,3,Midfield,Bodø/Glimt,/joshua-kitolano/profil/spieler/432694
499759,Ola Brynhildsen,17,4,Forward,Bodø/Glimt,/ola-brynhildsen/profil/spieler/499759
715508,Magnus Riisnæs,23,3,Midfield,Bodø/Glimt,/magnus-riisnaes/profil/spieler/715508
953067,Villads Nielsen,2,2,Defender,Bodø/Glimt,/villads-nielsen/profil/spieler/953067
335298,Sondre Brunstad Fet,19,3,Midfield,Bodø/Glimt,/sondre-brunstad-fet/profil/spieler/335298
342129,Jostein Gundersen,6,2,Defender,Bodø/Glimt,/jostein-gundersen/profil/spieler/342129
664809,Isak Dybvik Määttä,25,2,Defender,Bodø/Glimt,/isak-dybvik-maatta/profil/spieler/664809
700078,Joel Mvuka,22,4,Forward,Bodø/Glimt,/joel-mvuka/profil/spieler/700078
333012,Andreas Helmersen,9,4,Forward,Bodø/Glimt,/andreas-helmersen/profil/spieler/333012
1189915,Mikkel Bro Hansen,77,4,Forward,Bodø/Glimt,/mikkel-bro-hansen/profil/spieler/1189915
201865,Ulrik Saltnes,14,3,Midfield,Bodø/Glimt,/ulrik-saltnes/profil/spieler/201865
600732,August Mikkelsen,94,4,Forward,Bodø/Glimt,/august-mikkelsen/profil/spieler/600732
358726,Julian Faye Lund,1,1,Goalkeeper,Bodø/Glimt,/julian-faye-lund/profil/spieler/358726
230166,Haitam Aleesami,5,2,Defender,Bodø/Glimt,/haitam-aleesami/profil/spieler/230166
1109643,Isak Sjong,45,1,Goalkeeper,Bodø/Glimt,/isak-sjong/profil/spieler/1109643
997903,Givairo Read,26,2,Defender,Feyenoord,/givairo-read/profil/spieler/997903
917911,Anis Hadj Moussa,23,4,Forward,Feyenoord,/anis-hadj-moussa/profil/spieler/917911
589128,Ayase Ueda,9,4,Forward,Feyenoord,/ayase-ueda/profil/spieler/589128
601495,Luciano Valente,10,3,Midfield,Feyenoord,/luciano-valente/profil/spieler/601495
667965,Oussama Targhalline,28,3,Midfield,Feyenoord,/oussama-targhalline/profil/spieler/667965
855731,Jordan Bos,15,2,Defender,Feyenoord,/jordan-bos/profil/spieler/855731
593519,Sem Steijn,14,3,Midfield,Feyenoord,/sem-steijn/profil/spieler/593519
571149,Gjivai Zechiël,8,3,Midfield,Feyenoord,/gjivai-zechiel/profil/spieler/571149
617060,Mika Mármol,35,2,Defender,Feyenoord,/mika-marmol/profil/spieler/617060
598791,Tsuyoshi Watanabe,4,2,Defender,Feyenoord,/tsuyoshi-watanabe/profil/spieler/598791
384461,Jakub Moder,7,3,Midfield,Feyenoord,/jakub-moder/profil/spieler/384461
569845,Charles Vanhoutte,34,3,Midfield,Feyenoord,/charles-vanhoutte/profil/spieler/569845
867357,Nacho Ferri,19,4,Forward,Feyenoord,/nacho-ferri/profil/spieler/867357
374212,Gijs Smal,5,2,Defender,Feyenoord,/gijs-smal/profil/spieler/374212
568158,Javi López,16,2,Defender,Feyenoord,/javi-lopez/profil/spieler/568158
987370,Thijs Kraaijeveld,24,2,Defender,Feyenoord,/thijs-kraaijeveld/profil/spieler/987370
593862,Thomas Beelen,3,2,Defender,Feyenoord,/thomas-beelen/profil/spieler/593862
553282,Tjark Ernst,1,1,Goalkeeper,Feyenoord,/tjark-ernst/profil/spieler/553282
313094,Jordan Lotomba,30,2,Defender,Feyenoord,/jordan-lotomba/profil/spieler/313094
387105,Luka Ivanušec,33,3,Midfield,Feyenoord,/luka-ivanusec/profil/spieler/387105
479649,Gonçalo Borges,11,4,Forward,Feyenoord,/goncalo-borges/profil/spieler/479649
288253,Jeremiah St. Juste,6,2,Defender,Feyenoord,/jeremiah-st-juste/profil/spieler/288253
369554,Mats Deijl,20,2,Defender,Feyenoord,/mats-deijl/profil/spieler/369554
