id,name,shirtNumber,positionId,position,club,link
256178,Joe Gomez,2,2,Defender,Liverpool,/joe-gomez/profil/spieler/256178
234803,Andrew Robertson,26,2,Defender,Liverpool,/andrew-robertson/profil/spieler/234803
1045123,Trey Nyoni,42,3,Midfield,Liverpool,/trey-nyoni/profil/spieler/1045123
146310,Wataru Endo,3,3,Midfield,Liverpool,/wataru-endo/profil/spieler/146310
864799,Stefan Bajcetic,43,3,Midfield,Liverpool,/stefan-bajcetic/profil/spieler/864799
226049,Freddie Woodman,28,1,Goalkeeper,Liverpool,/freddie-woodman/profil/spieler/226049
633652,Calvin Ramsay,47,2,Defender,Liverpool,/calvin-ramsay/profil/spieler/633652
503679,Rhys Williams,46,2,Defender,Liverpool,/rhys-williams/profil/spieler/503679
706815,Harvey Davies,95,1,Goalkeeper,Liverpool,/harvey-davies/profil/spieler/706815
557459,Micky van de Ven,37,2,Defender,Tottenham,/micky-van-de-ven/profil/spieler/557459
543499,Mohammed Kudus,20,4,Forward,Tottenham,/mohammed-kudus/profil/spieler/543499
566931,Xavi Simons,7,3,Midfield,Tottenham,/xavi-simons/profil/spieler/566931
355915,Cristian Romero,17,2,Defender,Tottenham,/cristian-romero/profil/spieler/355915
553875,Pedro Porro,23,2,Defender,Tottenham,/pedro-porro/profil/spieler/553875
866246,Lucas Bergvall,15,3,Midfield,Tottenham,/lucas-bergvall/profil/spieler/866246
922693,Archie Gray,14,3,Midfield,Tottenham,/archie-gray/profil/spieler/922693
556385,Destiny Udogie,13,2,Defender,Tottenham,/destiny-udogie/profil/spieler/556385
488362,Conor Gallagher,22,3,Midfield,Tottenham,/conor-gallagher/profil/spieler/488362
431755,Dejan Kulusevski,21,3,Midfield,Tottenham,/dejan-kulusevski/profil/spieler/431755
258889,Dominic Solanke,19,4,Forward,Tottenham,/dominic-solanke/profil/spieler/258889
568693,Pape Matar Sarr,29,3,Midfield,Tottenham,/pape-matar-sarr/profil/spieler/568693
483348,Djed Spence,24,2,Defender,Tottenham,/djed-spence/profil/spieler/483348
378710,Richarlison,9,4,Forward,Tottenham,/richarlison/profil/spieler/378710
801734,Mathys Tel,11,4,Forward,Tottenham,/mathys-tel/profil/spieler/801734
294057,James Maddison,10,3,Midfield,Tottenham,/james-maddison/profil/spieler/294057
286047,Guglielmo Vicario,1,1,Goalkeeper,Tottenham,/guglielmo-vicario/profil/spieler/286047
487969,Randal Kolo Muani,39,4,Forward,Tottenham,/randal-kolo-muani/profil/spieler/487969
354362,Rodrigo Bentancur,30,3,Midfield,Tottenham,/rodrigo-bentancur/profil/spieler/354362
263236,Kevin Danso,4,2,Defender,Tottenham,/kevin-danso/profil/spieler/263236
