player_id,player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
937680,Mikel Gogorza,#41,Left Winger,Midtjylland,Europa League Qualifying,5,1,1,-,-,-,,,248'
652537,Gue-sung Cho,#10,Centre-Forward,Midtjylland,Europa League,9,2,-,1,-,-,,,629'
623772,Victor Bak,#55,Left-Back,Midtjylland,Europa League,8,1,1,-,-,-,,,727'
264423,Mikael Uhre,#17,Centre-Forward,Midtjylland,Europa League,1,-,-,-,-,-,,,33'
742518,Pedro Bravo,#19,Central Midfield,Midtjylland,Europa League,10,-,-,1,-,-,,,576'
464373,Elías Ólafsson,#16,Goalkeeper,Midtjylland,Europa League,10,-,,-,-,-,10,5,930'
747487,Valdemar Byskov,#20,Central Midfield,Midtjylland,Europa League,10,1,1,-,-,-,,,447'
706963,Han-beom Lee,#3,Centre-Back,Midtjylland,Europa League,9,-,1,1,-,-,,,505'
925199,Junior Zé,#39,Left Winger,Midtjylland,Europa League,1,-,-,-,-,-,,,58'
524590,Júnior Brumado,#74,Centre-Forward,Midtjylland,Europa League,9,1,-,3,-,-,,,600'
490309,Edward Chilufya,#14,Right Winger,Midtjylland,Europa League,4,-,-,-,-,-,,,70'
665538,Adam Gabriel,#13,Right-Back,Midtjylland,Europa League Qualifying,4,-,-,1,-,-,,,260'
520492,Paulinho,#29,Left-Back,Midtjylland,Europa League Qualifying,5,1,-,-,-,-,,,396'
1171600,Alamara Djabi,#33,Central Midfield,Midtjylland,Europa League Qualifying,1,-,-,-,-,-,,,25'
586987,Ovie Ejeheri,#30,Goalkeeper,Midtjylland,Europa League,,,,,,,,,
48870,Jonas Lössl,#1,Goalkeeper,Midtjylland,Europa League Qualifying,2,-,,-,-,-,2,-,208'
1003546,Mark Ugboh,#60,Goalkeeper,Midtjylland,Europa League,-,-,,-,-,-,-,-,-
1016309,Liam Selin,#31,Goalkeeper,Midtjylland,Europa League Qualifying,-,-,,-,-,-,-,-,-
1162316,Bilal Konteh,#35,Centre-Back,Midtjylland,Europa League,-,-,-,-,-,-,,,-
602105,Antony,#7,Right Winger,Real Betis,Europa League,10,6,3,2,-,-,,,788'
724520,Abde Ezzalzouli,#10,Left Winger,Real Betis,Europa League,12,4,3,1,-,-,,,806'
735568,Natan,#4,Centre-Back,Real Betis,Europa League,9,-,1,3,-,-,,,765'
466801,Sergi Altimira,#6,Central Midfield,Real Betis,Europa League,11,-,-,1,-,-,,,630'
459463,Cucho Hernández,#19,Centre-Forward,Real Betis,Europa League,7,3,-,-,-,-,,,448'
985383,Valentín Gómez,#16,Centre-Back,Real Betis,Europa League,9,-,-,2,-,-,,,666'
