player_id,player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
501418,Adrià Pedrosa,#3,Defender,Elche CF,La Liga,25,1,1,4,-,-,,,1.045'
342048,Grady Diangana,#19,Forward,Elche CF,La Liga,19,1,-,3,-,-,,,845'
398163,Gonzalo Villar,#12,Midfield,Elche CF,La Liga,10,1,-,3,-,-,,,553'
339816,Tete Morente,#15,Forward,Elche CF,La Liga,11,1,1,1,-,-,,,753'
412829,Léo Pétrot,#21,Defender,Elche CF,La Liga,31,-,-,2,-,1,,,1.567'
618801,Alejandro Iturbe,#45,Goalkeeper,Elche CF,La Liga,,,,,,,,,
627290,John Donald,#18,Defender,Elche CF,La Liga,19,1,-,3,-,-,,,601'
706947,Yago Santiago,#7,Forward,Elche CF,La Liga,9,-,-,1,-,-,,,278'
962125,Buba Sangaré,#42,Defender,Elche CF,La Liga,10,-,-,2,-,-,,,491'
1064506,Adam Boayar,#32,Forward,Elche CF,La Liga,7,1,-,-,-,-,,,98'
203043,Pedro Bigas,#6,Defender,Elche CF,La Liga,26,1,2,3,1,-,,,1.889'
144128,Matías Dituro,#1,Goalkeeper,Elche CF,La Liga,20,-,,1,-,-,28,3,1.800'
277533,Josan,#17,Forward,Elche CF,La Liga,18,-,3,2,-,-,,,550'
676042,Juanlu Sánchez,#16,Defender,Sevilla FC,La Liga,31,-,3,3,1,-,,,1.974'
711625,José Ángel Carmona,#2,Defender,Sevilla FC,La Liga,33,1,3,13,-,-,,,2.404'
607034,Akor Adams,#9,Forward,Sevilla FC,La Liga,30,10,3,3,-,-,,,1.944'
569384,Lucien Agoumé,#18,Midfield,Sevilla FC,La Liga,32,1,3,10,-,-,,,2.571'
345886,Rubén Vargas,#11,Forward,Sevilla FC,La Liga,22,3,6,2,-,-,,,1.530'
395234,Batista Mendy,#19,Midfield,Sevilla FC,La Liga,27,1,-,6,-,-,,,1.619'
766583,Kike Salas,#4,Defender,Sevilla FC,La Liga,24,2,-,1,-,-,,,2.023'
212723,Djibril Sow,#20,Midfield,Sevilla FC,La Liga,31,5,4,6,-,-,,,2.015'
385105,Gabriel Suazo,#12,Defender,Sevilla FC,La Liga,27,-,2,7,-,-,,,1.916'
687609,Isaac Romero,#7,Forward,Sevilla FC,La Liga,27,4,2,6,-,1,,,1.414'
1032280,Oso,#36,Defender,Sevilla FC,La Liga,19,2,3,-,-,-,,,1.254'
217115,Neal Maupay,#17,Forward,Sevilla FC,La Liga,10,2,1,1,-,-,,,792'
124419,Odysseas Vlachodimos,#1,Goalkeeper,Sevilla FC,La Liga,32,-,,1,-,-,51,5,2.880'
500067,Chidera Ejuke,#21,Forward,Sevilla FC,La Liga,25,1,1,-,-,-,,,873'
639733,Peque Fernández,#14,Forward,Sevilla FC,La Liga,25,2,1,7,-,-,,,914'
439022,Marcão,#23,Defender,Sevilla FC,La Liga,13,1,-,3,1,-,,,937'
74294,Nemanja Gudelj,#6,Midfield,Sevilla FC,La Liga,32,2,-,8,-,-,,,2.290'
155025,Fábio Cardoso,#15,Defender,Sevilla FC,La Liga,4,-,-,-,-,-,,,298'
263727,Joan Jordán,#8,Midfield,Sevilla FC,La Liga,3,-,-,1,-,-,,,22'
719999,Andrés Castrín,#32,Defender,Sevilla FC,La Liga,18,1,-,4,-,-,,,1.186'
766723,Manu Bueno,#28,Midfield,Sevilla FC,La Liga,8,-,-,2,-,-,,,270'
538996,Tanguy Nianzou,#5,Defender,Sevilla FC,La Liga,12,-,-,5,-,1,,,646'
40433,Alexis Sánchez,#10,Forward,Sevilla FC,La Liga,26,4,2,2,-,-,,,1.199'
57500,César Azpilicueta,#3,Defender,Sevilla FC,La Liga,16,-,1,4,-,-,,,1.128'
177847,Adnan Januzaj,#24,Forward,Sevilla FC,La Liga,12,-,-,1,-,-,,,315'
660735,Federico Gattoni,#22,Defender,Sevilla FC,La Liga,1,-,-,-,-,-,,,9'
73517,Ørjan Nyland,#13,Goalkeeper,Sevilla FC,La Liga,4,-,,1,-,-,7,1,360'
1064105,Miguel Sierra,#29,Forward,Sevilla FC,La Liga,4,-,-,-,-,-,,,58'
576024,Julián Alvarez,#19,Forward,Atlético de Madrid,La Liga,29,8,4,2,-,-,,,1.903'
775605,Pablo Barrios,#8,Midfield,Atlético de Madrid,La Liga,23,1,1,-,-,-,,,1.666'
548111,Álex Baena,#10,Forward,Atlético de Madrid,La Liga,25,2,3,5,-,-,,,1.450'
742201,Giuliano Simeone,#20,Forward,Atlético de Madrid,La Liga,29,4,6,1,-,-,,,2.020'
406040,Ademola Lookman,#22,Forward,Atlético de Madrid,La Liga,10,3,-,1,-,-,,,498'
404418,Dávid Hancko,#17,Defender,Atlético de Madrid,La Liga,28,-,2,2,-,-,,,2.298'
844637,Marc Pubill,#18,Defender,Atlético de Madrid,La Liga,17,-,1,2,-,-,,,1.247'
351809,Robin Le Normand,#24,Defender,Atlético de Madrid,La Liga,27,1,1,4,-,-,,,1.693'
486031,Nico González,#23,Forward,Atlético de Madrid,La Liga,24,5,-,4,-,1,,,1.454'
689505,Johnny Cardoso,#5,Midfield,Atlético de Madrid,La Liga,15,-,-,5,-,-,,,892'
282411,Marcos Llorente,#14,Defender,Atlético de Madrid,La Liga,28,-,4,5,1,-,,,2.094'
961297,Rodrigo Mendoza,#4,Midfield,Atlético de Madrid,La Liga,24,1,1,6,-,-,,,1.232'
238407,Alexander Sørloth,#9,Forward,Atlético de Madrid,La Liga,33,13,-,4,-,1,,,1.907'
616631,Matteo Ruggeri,#3,Defender,Atlético de Madrid,La Liga,24,-,3,4,-,-,,,1.640'
576028,Thiago Almada,#11,Forward,Atlético de Madrid,La Liga,26,3,1,2,-,1,,,1.267'
121483,Jan Oblak,#13,Goalkeeper,Atlético de Madrid,La Liga,29,-,,-,-,-,31,10,2.610'
424042,Nahuel Molina,#16,Defender,Atlético de Madrid,La Liga,26,2,2,4,-,-,,,1.321'
250845,José María Giménez,#2,Defender,Atlético de Madrid,La Liga,16,-,1,3,-,-,,,1.177'
125781,Antoine Griezmann,#7,Forward,Atlético de Madrid,La Liga,32,7,2,-,-,-,,,1.288'
889435,Obed Vargas,#21,Midfield,Atlético de Madrid,La Liga,10,-,1,2,-,-,,,588'
74229,Koke,#6,Midfield,Atlético de Madrid,La Liga,32,2,2,6,-,-,,,2.040'
182904,Clément Lenglet,#15,Defender,Atlético de Madrid,La Liga,17,-,1,4,1,-,,,1.276'
242359,Juan Musso,#1,Goalkeeper,Atlético de Madrid,La Liga,7,-,,2,-,-,8,3,630'
405398,Takefusa Kubo,#14,Forward,Real Sociedad,La Liga,24,2,4,2,-,-,,,1.509'
711374,Jon Gorrotxategi,#4,Midfield,Real Sociedad,La Liga,30,1,3,7,-,-,,,2.215'
351478,Mikel Oyarzabal,#10,Forward,Real Sociedad,La Liga,32,15,3,3,-,-,,,2.669'
1018938,Jon Martín,#31,Defender,Real Sociedad,La Liga,24,2,-,5,-,-,,,2.160'
616369,Ander Barrenetxea,#7,Forward,Real Sociedad,La Liga,30,3,5,5,-,-,,,1.769'
661145,Jon Aramburu,#2,Defender,Real Sociedad,La Liga,33,1,-,10,-,-,,,2.696'
366930,Sergio Gómez,#17,Defender,Real Sociedad,La Liga,33,-,5,4,-,1,,,2.605'
212862,Álex Remiro,#1,Goalkeeper,Real Sociedad,La Liga,36,-,,1,-,-,56,3,3.240'
660438,Orri Óskarsson,#9,Forward,Real Sociedad,La Liga,18,7,-,5,-,-,,,674'
309110,Brais Méndez,#23,Midfield,Real Sociedad,La Liga,28,6,2,4,-,1,,,1.614'
502722,Luka Sucic,#24,Midfield,Real Sociedad,La Liga,20,3,1,1,-,-,,,896'
634431,Beñat Turrientes,#8,Midfield,Real Sociedad,La Liga,25,-,3,6,-,-,,,1.167'
555143,Arsen Zakharyan,#21,Midfield,Real Sociedad,La Liga,16,-,-,1,-,-,,,391'
