id,name,shirtNumber,positionId,position,club,link
903666,Ethan Mbappé,8,4,Forward,LOSC Lille,/ethan-mbappe/profil/spieler/903666
318523,Romain Perraud,15,2,Defender,LOSC Lille,/romain-perraud/profil/spieler/318523
903359,Marius Broholm,14,4,Forward,LOSC Lille,/marius-broholm/profil/spieler/903359
353404,Gaëtan Perrin,28,4,Forward,LOSC Lille,/gaetan-perrin/profil/spieler/353404
1078326,Noah Edjouma,20,4,Forward,LOSC Lille,/noah-edjouma/profil/spieler/1078326
1184007,Soriba Diaoune,35,4,Forward,LOSC Lille,/soriba-diaoune/profil/spieler/1184007
245537,Nabil Bentaleb,6,3,Midfield,LOSC Lille,/nabil-bentaleb/profil/spieler/245537
84301,Benjamin André,21,3,Midfield,LOSC Lille,/benjamin-andre/profil/spieler/84301
258364,Calvin Verdonk,24,2,Defender,LOSC Lille,/calvin-verdonk/profil/spieler/258364
203348,Chancel Mbemba,18,2,Defender,LOSC Lille,/chancel-mbemba/profil/spieler/203348
417278,Arnaud Bodart,16,1,Goalkeeper,LOSC Lille,/arnaud-bodart/profil/spieler/417278
100986,Thomas Meunier,12,2,Defender,LOSC Lille,/thomas-meunier/profil/spieler/100986
82442,Olivier Giroud,9,4,Forward,LOSC Lille,/olivier-giroud/profil/spieler/82442
80293,Aïssa Mandi,23,2,Defender,LOSC Lille,/aissa-mandi/profil/spieler/80293
744074,Rafael Fernandes,0,2,Defender,LOSC Lille,/rafael-fernandes/profil/spieler/744074
990732,Ousmane Touré,36,2,Defender,LOSC Lille,/ousmane-toure/profil/spieler/990732
205465,Marc-Aurèle Caillard,30,1,Goalkeeper,LOSC Lille,/marc-aurele-caillard/profil/spieler/205465
532826,Mason Greenwood,10,4,Forward,Olympique Marseille,/mason-greenwood/profil/spieler/532826
890719,Ethan Nwaneri,11,3,Midfield,Olympique Marseille,/ethan-nwaneri/profil/spieler/890719
653610,Igor Paixão,14,4,Forward,Olympique Marseille,/igor-paixao/profil/spieler/653610
418659,Amine Gouiri,9,4,Forward,Olympique Marseille,/amine-gouiri/profil/spieler/418659
420213,Quinten Timber,27,3,Midfield,Olympique Marseille,/quinten-timber/profil/spieler/420213
926694,Arthur Vermeeren,18,3,Midfield,Olympique Marseille,/arthur-vermeeren/profil/spieler/926694
361914,Nayef Aguerd,21,2,Defender,Olympique Marseille,/nayef-aguerd/profil/spieler/361914
370846,Timothy Weah,22,3,Midfield,Olympique Marseille,/timothy-weah/profil/spieler/370846
474800,Facundo Medina,32,2,Defender,Olympique Marseille,/facundo-medina/profil/spieler/474800
575998,Leonardo Balerdi,5,2,Defender,Olympique Marseille,/leonardo-balerdi/profil/spieler/575998
167799,Pierre-Emile Højbjerg,23,3,Midfield,Olympique Marseille,/pierre-emile-hojbjerg/profil/spieler/167799
391065,Hamed Traoré,20,4,Forward,Olympique Marseille,/hamed-traore/profil/spieler/391065
353366,Benjamin Pavard,28,2,Defender,Olympique Marseille,/benjamin-pavard/profil/spieler/353366
581669,CJ Egan-Riley,4,2,Defender,Olympique Marseille,/cj-egan-riley/profil/spieler/581669
181778,Emerson,33,2,Defender,Olympique Marseille,/emerson/profil/spieler/181778
659520,Bilal Nadir,26,3,Midfield,Olympique Marseille,/bilal-nadir/profil/spieler/659520
229604,Gerónimo Rulli,1,1,Goalkeeper,Olympique Marseille,/geronimo-rulli/profil/spieler/229604
592979,Himad Abdelli,8,3,Midfield,Olympique Marseille,/himad-abdelli/profil/spieler/592979
127189,Geoffrey Kondogbia,19,3,Midfield,Olympique Marseille,/geoffrey-kondogbia/profil/spieler/127189
