player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Pol Lirola,#29,Right-Back,Marseille,Ligue 1,8,-,1,-,-,-,,,511'
Leonardo Balerdi,#5,Centre-Back,Marseille,Ligue 1,8,-,-,3,-,1,,,630'
Luis Henrique,#11,Left Winger,Marseille,Ligue 1,7,-,-,-,-,-,,,143'
Danilo Pereira,#15,Defensive Midfield,Paris SG,Ligue 1,6,1,-,1,-,-,,,480'
Gerson,#8,Central Midfield,Marseille,Ligue 1,9,1,1,-,-,-,,,504'
Konrad de la Fuente,#20,Left Winger,Marseille,Ligue 1,9,-,2,-,-,-,,,474'
Franco Tongya,,Attacking Midfield,Marseille B,National 2 - Grp. C,4,-,-,2,-,-,,,284'
Steve Mandanda,#30,Goalkeeper,Marseille,Ligue 1,3,-,,-,-,-,5,-,270'
Luan Peres,#14,Centre-Back,Marseille,Ligue 1,10,-,1,1,-,-,,,841'
Nicolas Cozza,#31,Left-Back,Montpellier,Ligue 1,11,1,1,1,-,-,,,863'
Arnaud Souquet,#2,Right-Back,Montpellier,Ligue 1,9,-,-,-,-,-,,,392'
Mihailo Ristic,#7,Left Midfield,Montpellier,Ligue 1,10,-,-,1,-,-,,,294'
Ambroise Oyongo,#8,Left-Back,Montpellier,National 2 - Grp. D,1,-,-,-,-,-,,,63'
Léo Leroy,#18,Central Midfield,Montpellier,Ligue 1,8,-,-,-,-,-,,,162'
Valère Germain,#9,Centre-Forward,Montpellier,Ligue 1,7,3,1,-,-,-,,,583'
Nicholas Gioacchini,#23,Centre-Forward,Montpellier,Ligue 1,7,-,1,-,-,-,,,81'
Dimitry Bertaud,#16,Goalkeeper,Montpellier,Ligue 1,5,-,,-,-,-,9,1,450'
Mathías Suárez,#22,Right-Back,Montpellier,National 2 - Grp. D,4,-,-,3,-,-,,,315'
Keylor Navas,#1,Goalkeeper,Paris SG,Ligue 1,7,-,,-,-,-,6,3,630'
Florent Mollet,#25,Central Midfield,Montpellier,Ligue 1,10,2,1,2,-,-,,,763'
Matthieu Udol,#3,Left-Back,FC Metz,Ligue 1,11,1,-,-,-,-,,,990'
Sikou Niakaté,#4,Centre-Back,FC Metz,Ligue 1,4,-,-,-,-,-,,,206'
Sofiane Alakouch,#22,Right-Back,FC Metz,Ligue 1,3,-,-,1,-,-,,,148'
Opa Nguette,#11,Left Winger,FC Metz,Ligue 1,4,-,1,-,-,-,,,89'
Thomas Delaine,#17,Left-Back,FC Metz,Ligue 1,5,-,1,-,-,-,,,338'
Vincent Pajot,#14,Defensive Midfield,FC Metz,Ligue 1,10,-,-,2,-,-,,,723'
Warren Tchimbembé,#12,Right Midfield,FC Metz,Ligue 1,4,-,-,-,-,-,,,78'
Marc-Aurèle Caillard,#30,Goalkeeper,FC Metz,Ligue 1,1,-,,-,-,-,1,-,2'
Dimitri Payet,#10,Attacking Midfield,Marseille,Ligue 1,7,5,4,-,-,-,,,630'
Myron Boadu,#9,Centre-Forward,Monaco,Ligue 1,10,-,1,-,-,-,,,313'
Ruben Aguilar,#26,Right-Back,Monaco,Ligue 1,9,-,-,1,-,-,,,623'
Guillermo Maripán,#3,Centre-Back,Monaco,Ligue 1,5,-,-,2,-,-,,,372'
Cheikh Sabaly,#13,Left Winger,FC Metz,Ligue 1,5,-,-,-,-,-,,,134'
Djibril Sidibé,#19,Right-Back,Monaco,Ligue 1,6,-,-,2,-,-,,,330'
Strahinja Pavlovic,#21,Centre-Back,Monaco,Ligue 1,6,-,-,2,-,-,,,372'
Ismail Jakobs,#14,Left Midfield,Monaco,Ligue 1,6,-,-,1,-,-,,,199'
Alexander Nübel,#16,Goalkeeper,Monaco,Ligue 1,11,-,,-,-,-,14,1,990'
Amine Bassi,#21,Attacking Midfield,FC Metz,Ligue 1,1,-,-,-,-,-,,,61'
Thuler,#26,Centre-Back,Montpellier,Ligue 1,7,-,-,1,1,-,,,542'
Anthony Lopes,#1,Goalkeeper,Olympique Lyon,Ligue 1,10,-,,1,-,1,15,2,884'
Emerson,#3,Left-Back,Olympique Lyon,Ligue 1,8,1,1,-,-,1,,,644'
Tino Kadewere,#11,Right Winger,Olympique Lyon,Ligue 1,4,-,-,-,-,1,,,132'
Jérôme Boateng,#27,Centre-Back,Olympique Lyon,Ligue 1,6,-,-,1,-,-,,,414'
Sinaly Diomandé,#2,Centre-Back,Olympique Lyon,Ligue 1,9,-,-,2,-,-,,,561'
Marcelo,#6,Centre-Back,Olympique Lyon,National 2 - Grp. C,6,1,-,1,-,-,,,513'
Islam Slimani,#20,Centre-Forward,Olympique Lyon,Ligue 1,6,1,1,1,-,-,,,302'
Pape Cheikh,#24,Central Midfield,Olympique Lyon,National 2 - Grp. C,1,-,-,1,-,-,,,45'
Álvaro González,#3,Centre-Back,Marseille,Europa League,2,-,-,1,-,-,,,180'
Damien Da Silva,#21,Centre-Back,Olympique Lyon,Ligue 1,3,-,-,-,1,-,,,178'
Lenny Pintor,#31,Centre-Forward,Olympique Lyon,,,,,,,,,,
Layvin Kurzawa,#20,Left-Back,Paris SG,Trophée des Champions,1,-,-,-,-,-,,,9'
