id,name,shirtNumber,positionId,link
116598,Viktor Claesson,16,4,/viktor-claesson/profil/spieler/116598
113707,Rémy Cabella,7,3,/remy-cabella/profil/spieler/113707
236202,Wanderson,10,4,/wanderson/profil/spieler/236202
182581,Tonny Vilhena,52,3,/tonny-vilhena/profil/spieler/182581
189485,Cristian Ramírez,6,2,/cristian-ramirez/profil/spieler/189485
160222,Uros Spajic,5,2,/uros-spajic/profil/spieler/160222
102581,Sergey Petrov,98,2,/sergey-petrov/profil/spieler/102581
182381,Quincy Promes,24,4,/quincy-promes/profil/spieler/182381
308552,Jordan Larsson,11,4,/jordan-larsson/profil/spieler/308552
166277,Roman Zobnin,47,3,/roman-zobnin/profil/spieler/166277
351419,Aleksandr Maksimenko,98,1,/aleksandr-maksimenko/profil/spieler/351419
276896,Samuel Gigot,2,2,/samuel-gigot/profil/spieler/276896
464259,Aleksandr Sobolev,7,4,/aleksandr-sobolev/profil/spieler/464259
185024,Georgiy Dzhikiya,14,2,/georgiy-dzhikiya/profil/spieler/185024
296783,Ezequiel Ponce,9,4,/ezequiel-ponce/profil/spieler/296783
59866,Victor Moses,8,3,/victor-moses/profil/spieler/59866
279242,Zelimkhan Bakaev,10,4,/zelimkhan-bakaev/profil/spieler/279242
349585,Ayrton Lucas,6,2,/ayrton-lucas/profil/spieler/349585
381833,Nail Umyarov,18,3,/nail-umyarov/profil/spieler/381833
178314,Victorien Angban,19,3,/victorien-angban/profil/spieler/178314
97541,Artur Yusupov,6,3,/artur-yusupov/profil/spieler/97541
138399,Ibragim Tsallagov,15,3,/ibragim-tsallagov/profil/spieler/138399
275512,Emanuel Mammana,24,2,/emanuel-mammana/profil/spieler/275512
362667,Mateo Cassierra,30,4,/mateo-cassierra/profil/spieler/362667
486083,Danila Prokhin,87,2,/danila-prokhin/profil/spieler/486083
74081,Sergey Terekhov,13,2,/sergey-terekhov/profil/spieler/74081
329629,Mateo Barac,4,2,/mateo-barac/profil/spieler/329629
73783,Joãozinho,22,4,/joaozinho/profil/spieler/73783
148485,Timofey Margasov,34,2,/timofey-margasov/profil/spieler/148485
232093,Reziuan Mirzov,77,4,/reziuan-mirzov/profil/spieler/232093
230946,Ilya Lantratov,22,1,/ilya-lantratov/profil/spieler/230946
270905,Filip Dagerstal,3,2,/filip-dagerstal/profil/spieler/270905
333161,Kemal Ademi,9,4,/kemal-ademi/profil/spieler/333161
178957,Bryan Idowu,4,2,/bryan-idowu/profil/spieler/178957
188650,Dmitri Tikhiy,6,2,/dmitri-tikhiy/profil/spieler/188650
308541,Aleksandr Troshechkin,5,3,/aleksandr-troshechkin/profil/spieler/308541
260229,Egor Danilkin,15,2,/egor-danilkin/profil/spieler/260229
301037,Aleksandr Filin,25,2,/aleksandr-filin/profil/spieler/301037
55336,Denis Glushakov,8,3,/denis-glushakov/profil/spieler/55336
214257,Elmir Nabiullin,11,2,/elmir-nabiullin/profil/spieler/214257
605534,Kirill Bozhenov,87,2,/kirill-bozhenov/profil/spieler/605534
263905,Dmitri Barinov,6,3,/dmitri-barinov/profil/spieler/263905
255451,Anton Miranchuk,11,3,/anton-miranchuk/profil/spieler/255451
149577,Pablo,3,2,/pablo/profil/spieler/149577
50355,Fedor Smolov,9,4,/fedor-smolov/profil/spieler/50355
267383,Rifat Zhemaletdinov,17,3,/rifat-zhemaletdinov/profil/spieler/267383
333802,François Kamano,25,4,/francois-kamano/profil/spieler/333802
268112,Gyrano Kerk,7,4,/gyrano-kerk/profil/spieler/268112
134602,Zé Luís,20,4,/ze-luis/profil/spieler/134602
206386,Tin Jedvaj,16,2,/tin-jedvaj/profil/spieler/206386
425756,Daniil Kulikov,69,3,/daniil-kulikov/profil/spieler/425756
535974,Konstantin Maradishvili,5,3,/konstantin-maradishvili/profil/spieler/535974
502670,Khvicha Kvaratskhelia,21,4,/khvicha-kvaratskhelia/profil/spieler/502670
325887,Filip Uremovic,5,2,/filip-uremovic/profil/spieler/325887
325993,Oliver Abildgaard,28,3,/oliver-abildgaard/profil/spieler/325993
167316,Djordje Despotovic,9,4,/djordje-despotovic/profil/spieler/167316
342389,Anders Dreyer,11,4,/anders-dreyer/profil/spieler/342389
349300,Sead Haksabanovic,99,4,/sead-haksabanovic/profil/spieler/349300
228660,Yuri Dyupin,22,1,/yuri-dyupin/profil/spieler/228660
522030,Ilya Samoshnikov,77,2,/ilya-samoshnikov/profil/spieler/522030
59187,Oleg Shatov,8,3,/oleg-shatov/profil/spieler/59187
230552,Diego Laxalt,93,2,/diego-laxalt/profil/spieler/230552
37549,Anton Shunin,1,1,/anton-shunin/profil/spieler/37549
365261,Vyacheslav Grulev,20,4,/vyacheslav-grulev/profil/spieler/365261
188862,Guillermo Varela,2,2,/guillermo-varela/profil/spieler/188862
241119,Clinton N'Jie,9,4,/clinton-njie/profil/spieler/241119
102043,Sly,10,4,/slytm/profil/spieler/102043
52477,Sergey Parshivlyuk,4,2,/sergey-parshivlyuk/profil/spieler/52477
166275,Grigori Morozov,26,2,/grigori-morozov/profil/spieler/166275
159957,Yuri Gazinskiy,8,3,/yuri-gazinskiy/profil/spieler/159957
55356,Aleksey Ionov,11,4,/aleksey-ionov/profil/spieler/55356
187024,Evgeniy Chernov,18,2,/evgeniy-chernov/profil/spieler/187024
220650,Vladimir Iljin,29,4,/vladimir-iljin/profil/spieler/220650
288721,Egor Sorokin,2,2,/egor-sorokin/profil/spieler/288721
523363,Kaio,31,2,/kaio/profil/spieler/523363
59352,Aleksandr Martynovich,4,2,/aleksandr-martynovich/profil/spieler/59352
124700,Dmitri Stotskiy,89,2,/dmitri-stotskiy/profil/spieler/124700
432112,Aleksandr Chernikov,53,3,/aleksandr-chernikov/profil/spieler/432112
515744,Eduard Spertsyan,74,3,/eduard-spertsyan/profil/spieler/515744
205004,Jorrit Hendrix,4,3,/jorrit-hendrix/profil/spieler/205004
424121,Pavel Maslov,39,2,/pavel-maslov/profil/spieler/424121
129096,Ilya Kutepov,29,2,/ilya-kutepov/profil/spieler/129096
285868,Nikolay Rasskazov,92,2,/nikolay-rasskazov/profil/spieler/285868
292837,Aleksandr Lomovitskiy,17,4,/aleksandr-lomovitskiy/profil/spieler/292837
265153,Aleksandr Selikhov,57,1,/aleksandr-selikhov/profil/spieler/265153
