player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Zoran Nizic,#20,Centre-Back,Akhmat Grozny,Premier Liga,9,-,-,3,1,-,,,720'
Ruslan Kambolov,#2,Defensive Midfield,Arsenal Tula,Premier Liga,1,-,-,-,-,-,,,8'
Artem Polyarus,#14,Left Midfield,Akhmat Grozny,Premier Liga,5,-,-,2,-,-,,,226'
Gabriel Iancu,#9,Left Winger,Akhmat Grozny,Premier Liga,2,1,-,-,-,-,,,31'
Vladislav Ignatjev,#20,Right-Back,Rubin Kazan,Premier Liga,5,-,-,-,-,-,,,128'
German Onugkha,#10,Centre-Forward,Rubin Kazan,Premier Liga,8,-,-,1,-,-,,,222'
Ivan Konovalov,#75,Goalkeeper,Rubin Kazan,,,,,,,,,,
Aleksey Gorodovoy,#93,Goalkeeper,Rubin Kazan,,,,,,,,,,
Nikita Medvedev,#1,Goalkeeper,Rubin Kazan,UECL Qualifiers,1,-,,-,-,-,-,1,-
Rafal Augustyniak,#6,Defensive Midfield,Ural,Premier Liga,6,-,-,-,-,-,,,457'
Eric Bicfalvi,#10,Attacking Midfield,Ural,Premier Liga,9,2,1,3,1,-,,,675'
Ivan Novoseltsev,#99,Centre-Back,Arsenal Tula,Premier Liga,10,1,-,4,-,-,,,900'
Danijel Miskic,#19,Central Midfield,Ural,Premier Liga,10,-,1,3,-,-,,,696'
Branko Jovicic,#18,Defensive Midfield,Ural,Premier Liga,7,-,1,1,-,-,,,532'
Ilya Pomazun,#1,Goalkeeper,Ural,Premier Liga,6,-,,1,-,-,8,3,540'
Vyacheslav Podberezkin,#21,Attacking Midfield,Ural,Premier Liga,8,-,-,-,-,-,,,311'
Andrey Egorychev,#5,Central Midfield,Ural,Premier Liga,10,1,1,1,-,-,,,820'
Anton Shvets,#23,Defensive Midfield,Akhmat Grozny,Premier Liga,2,-,-,1,-,-,,,90'
Roman Emeljanov,#8,Defensive Midfield,Ural,,,,,,,,,,
Ylldren Ibrahimaj,#17,Right Winger,Ural,Premier Liga,3,-,-,1,-,-,,,159'
Ramazan Gadzhimuradov,#11,Right Winger,Ural,Premier Liga,6,-,1,1,-,-,,,387'
Anton Zinkovskiy,#17,Left Winger,KS Samara,Premier Liga,10,1,3,1,-,-,,,809'
Ivan Sergeev,#33,Centre-Forward,KS Samara,Premier Liga,10,3,3,1,-,-,,,833'
Dmytro Ivanisenya,#21,Defensive Midfield,KS Samara,Premier Liga,10,-,-,3,-,-,,,874'
Nikita Chernov,#3,Centre-Back,KS Samara,Premier Liga,7,1,-,2,-,-,,,630'
Aleksandr Belenov,#31,Goalkeeper,Ufa,Premier Liga,10,-,,-,-,-,17,-,900'
Silvije Begic,#2,Centre-Back,KS Samara,Premier Liga,8,1,-,3,-,-,,,720'
Ivan Lomaev,#1,Goalkeeper,KS Samara,Premier Liga,10,-,,2,-,-,13,2,900'
Maksim Glushenkov,#15,Right Winger,KS Samara,Premier Liga,8,2,-,1,-,-,,,466'
Glenn Bijl,#23,Right-Back,KS Samara,Premier Liga,2,-,-,-,-,-,,,76'
Andrey Panyukov,#20,Centre-Forward,Ural,Premier Liga,6,1,-,-,-,-,,,286'
Vladislav Sarveli,#10,Centre-Forward,KS Samara,Premier Liga,9,2,-,-,-,-,,,389'
