id,name,shirtNumber,positionId,link
277179,Angeliño,3,2,/angelino/profil/spieler/277179
215599,Lukas Klostermann,16,2,/lukas-klostermann/profil/spieler/215599
223967,Konrad Laimer,27,3,/konrad-laimer/profil/spieler/223967
348026,Nordi Mukiele,22,2,/nordi-mukiele/profil/spieler/348026
451276,Dominik Szoboszlai,17,4,/dominik-szoboszlai/profil/spieler/451276
617074,Ilaix Moriba,26,3,/ilaix-moriba/profil/spieler/617074
402008,Amadou Haidara,8,3,/amadou-haidara/profil/spieler/402008
157635,Yussuf Poulsen,9,4,/yussuf-poulsen/profil/spieler/157635
371149,Evan N'Dicka,2,2,/evan-ndicka/profil/spieler/371149
356141,Daichi Kamada,15,3,/daichi-kamada/profil/spieler/356141
161011,Filip Kostic,10,3,/filip-kostic/profil/spieler/161011
323831,Rafael Borré,19,4,/rafael-borre/profil/spieler/323831
212723,Djibril Sow,8,3,/djibril-sow/profil/spieler/212723
85789,Martin Hinteregger,13,2,/martin-hinteregger/profil/spieler/85789
422355,Jens Petter Hauge,23,4,/jens-petter-hauge/profil/spieler/422355
513245,Jesper Lindström,29,3,/jesper-lindstrom/profil/spieler/513245
45672,Kevin Trapp,1,1,/kevin-trapp/profil/spieler/45672
386914,Sam Lammers,9,4,/sam-lammers/profil/spieler/386914
196231,Marvin Friedrich,5,2,/marvin-friedrich/profil/spieler/196231
295313,Taiwo Awoniyi,14,4,/taiwo-awoniyi/profil/spieler/295313
94201,Robin Knoche,31,2,/robin-knoche/profil/spieler/94201
36182,Max Kruse,10,4,/max-kruse/profil/spieler/36182
124410,Rani Khedira,8,3,/rani-khedira/profil/spieler/124410
234029,Grischa Prömel,21,3,/grischa-promel/profil/spieler/234029
598577,Florian Wirtz,27,3,/florian-wirtz/profil/spieler/598577
395516,Moussa Diaby,19,4,/moussa-diaby/profil/spieler/395516
564545,Edmond Tapsoba,12,2,/edmond-tapsoba/profil/spieler/564545
242086,Patrik Schick,14,4,/patrik-schick/profil/spieler/242086
644771,Odilon Kossounou,6,2,/odilon-kossounou/profil/spieler/644771
196357,Jonathan Tah,4,2,/jonathan-tah/profil/spieler/196357
125858,Kerem Demirbay,10,3,/kerem-demirbay/profil/spieler/125858
193782,Lucas Alario,13,4,/lucas-alario/profil/spieler/193782
232454,Nadiem Amiri,11,3,/nadiem-amiri/profil/spieler/232454
401578,Exequiel Palacios,25,3,/exequiel-palacios/profil/spieler/401578
484547,Jeremie Frimpong,30,2,/jeremie-frimpong/profil/spieler/484547
418560,Erling Haaland,9,4,/erling-haaland/profil/spieler/418560
581678,Jude Bellingham,22,3,/jude-bellingham/profil/spieler/581678
504215,Giovanni Reyna,7,3,/giovanni-reyna/profil/spieler/504215
170986,Raphaël Guerreiro,13,2,/raphael-guerreiro/profil/spieler/170986
284730,Manuel Akanji,16,2,/manuel-akanji/profil/spieler/284730
326029,Donyell Malen,21,4,/donyell-malen/profil/spieler/326029
102226,Thorgan Hazard,10,4,/thorgan-hazard/profil/spieler/102226
119296,Emre Can,23,3,/emre-can/profil/spieler/119296
187492,Julian Brandt,19,3,/julian-brandt/profil/spieler/187492
191422,Mahmoud Dahoud,8,3,/mahmoud-dahoud/profil/spieler/191422
111078,Emil Forsberg,10,4,/emil-forsberg/profil/spieler/111078
332705,Tyler Adams,14,3,/tyler-adams/profil/spieler/332705
475959,Josko Gvardiol,32,2,/josko-gvardiol/profil/spieler/475959
666234,Mohamed Simakan,2,2,/mohamed-simakan/profil/spieler/666234
93740,Willi Orban,4,2,/willi-orban/profil/spieler/93740
57071,Péter Gulácsi,1,1,/peter-gulacsi/profil/spieler/57071
53418,Kevin Kampl,44,3,/kevin-kampl/profil/spieler/53418
70243,Marcel Halstenberg,23,2,/marcel-halstenberg/profil/spieler/70243
202591,Benjamin Henrichs,39,2,/benjamin-henrichs/profil/spieler/202591
473169,Brian Brobbey,21,4,/brian-brobbey/profil/spieler/473169
546213,Tuta,35,2,/tuta/profil/spieler/546213
216181,Almamy Touré,18,2,/almamy-toure/profil/spieler/216181
159844,Christopher Lenz,25,2,/christopher-lenz/profil/spieler/159844
181547,Gonçalo Paciência,39,4,/goncalo-paciencia/profil/spieler/181547
44466,Sebastian Rode,17,3,/sebastian-rode/profil/spieler/44466
85906,Danny da Costa,24,2,/danny-da-costa/profil/spieler/85906
374954,Kristijan Jakic,6,3,/kristijan-jakic/profil/spieler/374954
315332,Aymen Barkok,27,3,/aymen-barkok/profil/spieler/315332
96167,Amin Younes,32,3,/amin-younes/profil/spieler/96167
265625,Ajdin Hrustic,7,3,/ajdin-hrustic/profil/spieler/265625
228645,Wout Weghorst,9,4,/wout-weghorst/profil/spieler/228645
434224,Maxence Lacroix,4,2,/maxence-lacroix/profil/spieler/434224
223979,Xaver Schlager,24,3,/xaver-schlager/profil/spieler/223979
327251,Ridle Baku,20,4,/ridle-baku/profil/spieler/327251
117674,Maximilian Arnold,27,3,/maximilian-arnold/profil/spieler/117674
108880,Koen Casteels,1,1,/koen-casteels/profil/spieler/108880
124732,John Anthony Brooks,25,2,/john-anthony-brooks/profil/spieler/124732
183321,Kevin Mbabu,19,2,/kevin-mbabu/profil/spieler/183321
338629,Sebastiaan Bornauw,3,2,/sebastiaan-bornauw/profil/spieler/338629
303259,Dodi Lukébakio,28,4,/dodi-lukebakio/profil/spieler/303259
361575,Tymoteusz Puchacz,26,2,/tymoteusz-puchacz/profil/spieler/361575
187491,Timo Baumgartl,25,2,/timo-baumgartl/profil/spieler/187491
188888,Sheraldo Becker,27,4,/sheraldo-becker/profil/spieler/188888
79377,Genki Haraguchi,24,3,/genki-haraguchi/profil/spieler/79377
168543,Levin Öztunali,7,3,/levin-oztunali/profil/spieler/168543
370789,Julian Ryerson,6,2,/julian-ryerson/profil/spieler/370789
94137,Kevin Möhwald,30,3,/kevin-mohwald/profil/spieler/94137
107775,Frederik Rönnow,19,1,/frederik-ronnow/profil/spieler/107775
164759,Pawel Wszolek,15,4,/pawel-wszolek/profil/spieler/164759
428791,Paulinho,7,4,/paulinho/profil/spieler/428791
361065,Mitchel Bakker,5,2,/mitchel-bakker/profil/spieler/361065
532776,Amine Adli,31,4,/amine-adli/profil/spieler/532776
659813,Piero Hincapié,33,2,/piero-hincapie/profil/spieler/659813
159088,Robert Andrich,8,3,/robert-andrich/profil/spieler/159088
215099,Daley Sinkgraven,22,2,/daley-sinkgraven/profil/spieler/215099
48015,Lukas Hradecky,1,1,/lukas-hradecky/profil/spieler/48015
89701,Charles Aránguiz,20,3,/charles-aranguiz/profil/spieler/89701
112541,Andrey Lunev,40,1,/andrey-lunev/profil/spieler/112541
61087,Karim Bellarabi,38,4,/karim-bellarabi/profil/spieler/61087
257814,Gregor Kobel,1,1,/gregor-kobel/profil/spieler/257814
467720,Youssoufa Moukoko,18,4,/youssoufa-moukoko/profil/spieler/467720
627226,Reinier,20,3,/reinier/profil/spieler/627226
344598,Dan-Axel Zagadou,5,2,/dan-axel-zagadou/profil/spieler/344598
35207,Marco Reus,11,3,/marco-reus/profil/spieler/35207
39728,Mats Hummels,15,2,/mats-hummels/profil/spieler/39728
100986,Thomas Meunier,24,2,/thomas-meunier/profil/spieler/100986
35047,Axel Witsel,28,3,/axel-witsel/profil/spieler/35047
282144,Marin Pongracic,34,2,/marin-pongracic/profil/spieler/282144
85867,Nico Schulz,14,2,/nico-schulz/profil/spieler/85867
193900,Marius Wolf,39,4,/marius-wolf/profil/spieler/193900
373916,Marcelo Saracchi,43,2,/marcelo-saracchi/profil/spieler/373916
388516,Josep Martínez,31,1,/josep-martinez/profil/spieler/388516
717345,Sidney Raebiger,37,3,/sidney-raebiger/profil/spieler/717345
597004,Joscha Wosz,47,3,/joscha-wosz/profil/spieler/597004
668276,Hugo Novoa,38,4,/hugo-novoa/profil/spieler/668276
21726,Philipp Tschauner,13,1,/philipp-tschauner/profil/spieler/21726
692462,Ben Klefisch,46,3,/ben-klefisch/profil/spieler/692462
46580,Andrej Kramaric,27,4,/andrej-kramaric/profil/spieler/46580
324278,Christoph Baumgartner,14,3,/christoph-baumgartner/profil/spieler/324278
195736,Florian Grillitsch,11,3,/florian-grillitsch/profil/spieler/195736
237164,Ihlas Bebou,9,4,/ihlas-bebou/profil/spieler/237164
315604,Diadié Samassékou,18,3,/diadie-samassekou/profil/spieler/315604
223974,Stefan Posch,38,2,/stefan-posch/profil/spieler/223974
251309,Dennis Geiger,8,3,/dennis-geiger/profil/spieler/251309
318204,David Raum,17,2,/david-raum/profil/spieler/318204
143798,Pavel Kaderabek,3,2,/pavel-kaderabek/profil/spieler/143798
270393,Robert Skov,29,4,/robert-skov/profil/spieler/270393
278332,Florian Neuhaus,32,3,/florian-neuhaus/profil/spieler/278332
318528,Marcus Thuram,10,4,/marcus-thuram/profil/spieler/318528
124502,Matthias Ginter,28,2,/matthias-ginter/profil/spieler/124502
334526,Denis Zakaria,8,3,/denis-zakaria/profil/spieler/334526
192635,Nico Elvedi,30,2,/nico-elvedi/profil/spieler/192635
284732,Ramy Bensebaini,25,2,/ramy-bensebaini/profil/spieler/284732
167329,Alassane Plea,14,4,/alassane-plea/profil/spieler/167329
7161,Jonas Hofmann,23,4,/jonas-hofmann/profil/spieler/7161
237662,Breel Embolo,36,4,/breel-embolo/profil/spieler/237662
93922,Erik Durm,37,2,/erik-durm/profil/spieler/93922
416380,Ragnar Ache,21,4,/ragnar-ache/profil/spieler/416380
40074,Stefan Ilsanker,3,3,/stefan-ilsanker/profil/spieler/40074
49723,Timothy Chandler,22,2,/timothy-chandler/profil/spieler/49723
39259,Makoto Hasebe,20,3,/makoto-hasebe/profil/spieler/39259
648909,Fabio Blanco,28,4,/fabio-blanco/profil/spieler/648909
506936,Martin Pecar,45,4,/martin-pecar/profil/spieler/506936
741295,Enrique Herrero García,38,4,/enrique-herrero-garcia/profil/spieler/741295
448705,Diant Ramaj,40,1,/diant-ramaj/profil/spieler/448705
40034,Jens Grahl,31,1,/jens-grahl/profil/spieler/40034
196095,Luca Waldschmidt,7,4,/luca-waldschmidt/profil/spieler/196095
314288,Lukas Nmecha,10,4,/lukas-nmecha/profil/spieler/314288
221611,Paulo Otávio,6,2,/paulo-otavio/profil/spieler/221611
119277,Yannick Gerhardt,31,3,/yannick-gerhardt/profil/spieler/119277
127076,Jérôme Roussillon,15,2,/jerome-roussillon/profil/spieler/127076
143891,Maximilian Philipp,17,4,/maximilian-philipp/profil/spieler/143891
503881,Aster Vranckx,8,3,/aster-vranckx/profil/spieler/503881
93704,Josuha Guilavogui,23,3,/josuha-guilavogui/profil/spieler/93704
535551,Bartosz Bialek,21,4,/bartosz-bialek/profil/spieler/535551
194638,Renato Steffen,11,4,/renato-steffen/profil/spieler/194638
284248,Paul Jaeckel,3,2,/paul-jaeckel/profil/spieler/284248
72792,Niko Gießelmann,23,2,/niko-giesselmann/profil/spieler/72792
94771,Andreas Voglsammer,9,4,/andreas-voglsammer/profil/spieler/94771
207597,Cedric Teuchert,36,4,/cedric-teuchert/profil/spieler/207597
354340,Rick van Drongelen,4,2,/rick-van-drongelen/profil/spieler/354340
421726,Keita Endo,18,4,/keita-endo/profil/spieler/421726
75921,Christopher Trimmel,28,2,/christopher-trimmel/profil/spieler/75921
41323,Andreas Luthe,1,1,/andreas-luthe/profil/spieler/41323
117432,Kevin Behrens,17,4,/kevin-behrens/profil/spieler/117432
142281,Anthony Ujah,11,4,/anthony-ujah/profil/spieler/142281
53437,Bastian Oczipka,20,2,/bastian-oczipka/profil/spieler/53437
324351,Panagiotis Retsos,3,2,/panagiotis-retsos/profil/spieler/324351
315131,Timothy Fosu-Mensah,24,2,/timothy-fosu-mensah/profil/spieler/315131
788445,Zidan Sertdemir,29,3,/zidan-sertdemir/profil/spieler/788445
34787,Julian Baumgartlinger,15,3,/julian-baumgartlinger/profil/spieler/34787
580276,Emrehan Gedikli,37,4,/emrehan-gedikli/profil/spieler/580276
85543,Niklas Lomb,36,1,/niklas-lomb/profil/spieler/85543
388513,Mateu Morey Bauzà,2,2,/mateu-morey-bauza/profil/spieler/388513
59027,Roman Bürki,38,1,/roman-burki/profil/spieler/59027
