id,name,shirtNumber,positionId,position,club,link
787912,El Chadaille Bitshiabu,5,2,Defender,RB Leipzig,/el-chadaille-bitshiabu/profil/spieler/787912
807386,Conrad Harder,9,4,Forward,RB Leipzig,/conrad-harder/profil/spieler/807386
865682,Ezechiel Banzuzi,6,3,Midfield,RB Leipzig,/ezechiel-banzuzi/profil/spieler/865682
486046,Maarten Vandevoordt,26,1,Goalkeeper,RB Leipzig,/maarten-vandevoordt/profil/spieler/486046
1130445,Abdoul Koné,2,2,Defender,RB Leipzig,/abdoul-kone/profil/spieler/1130445
327251,Ridle Baku,17,2,Defender,RB Leipzig,/ridle-baku/profil/spieler/327251
952779,Andrija Maksimovic,30,3,Midfield,RB Leipzig,/andrija-maksimovic/profil/spieler/952779
202591,Benjamin Henrichs,39,2,Defender,RB Leipzig,/benjamin-henrichs/profil/spieler/202591
93740,Willi Orbán,4,2,Defender,RB Leipzig,/willi-orban/profil/spieler/93740
955448,Tidiam Gomis,27,4,Forward,RB Leipzig,/tidiam-gomis/profil/spieler/955448
1235583,Suleman Sani,18,4,Forward,RB Leipzig,/suleman-sani/profil/spieler/1235583
810649,Max Finkgräfe,35,2,Defender,RB Leipzig,/max-finkgrafe/profil/spieler/810649
215599,Lukas Klostermann,16,2,Defender,RB Leipzig,/lukas-klostermann/profil/spieler/215599
763948,Ayodele Thomas,21,4,Forward,RB Leipzig,/ayodele-thomas/profil/spieler/763948
73517,Ørjan Nyland,1,1,Goalkeeper,RB Leipzig,/orjan-nyland/profil/spieler/73517
990146,Joyeux Masanka Bungi,42,2,Defender,RB Leipzig,/joyeux-masanka-bungi/profil/spieler/990146
1074526,Viggo Gebel,47,3,Midfield,RB Leipzig,/viggo-gebel/profil/spieler/1074526
160971,Leopold Zingerle,25,1,Goalkeeper,RB Leipzig,/leopold-zingerle/profil/spieler/160971
1279157,Benno Kaltefleiter,37,3,Midfield,RB Leipzig,/benno-kaltefleiter/profil/spieler/1279157
569383,Chrislain Matsima,5,2,Defender,FC Augsburg,/chrislain-matsima/profil/spieler/569383
923945,Noahkai Banks,40,2,Defender,FC Augsburg,/noahkai-banks/profil/spieler/923945
384593,Alexis Claude-Maurice,20,3,Midfield,FC Augsburg,/alexis-claude-maurice/profil/spieler/384593
507341,Fabian Rieder,32,3,Midfield,FC Augsburg,/fabian-rieder/profil/spieler/507341
777005,Mert Kömür,10,3,Midfield,FC Augsburg,/mert-komur/profil/spieler/777005
251299,Finn Dahmen,1,1,Goalkeeper,FC Augsburg,/finn-dahmen/profil/spieler/251299
654234,Anton Kade,30,3,Midfield,FC Augsburg,/anton-kade/profil/spieler/654234
536508,Han-Noah Massengo,4,3,Midfield,FC Augsburg,/han-noah-massengo/profil/spieler/536508
639414,Young-woo Seol,7,2,Defender,FC Augsburg,/young-woo-seol/profil/spieler/639414
374954,Kristijan Jakic,17,3,Midfield,FC Augsburg,/kristijan-jakic/profil/spieler/374954
829838,Hennes Behrens,16,2,Defender,FC Augsburg,/hennes-behrens/profil/spieler/829838
726701,Rodrigo Ribeiro,9,4,Forward,FC Augsburg,/rodrigo-ribeiro/profil/spieler/726701
1309324,Uchenna Ogundu,39,4,Forward,FC Augsburg,/uchenna-ogundu/profil/spieler/1309324
264960,Robin Fellhauer,19,3,Midfield,FC Augsburg,/robin-fellhauer/profil/spieler/264960
358766,Calvin Brackelmann,2,2,Defender,FC Augsburg,/calvin-brackelmann/profil/spieler/358766
928265,Sima Suso,8,3,Midfield,FC Augsburg,/sima-suso/profil/spieler/928265
193900,Marius Wolf,27,2,Defender,FC Augsburg,/marius-wolf/profil/spieler/193900
342039,Yannik Keitel,14,3,Midfield,FC Augsburg,/yannik-keitel/profil/spieler/342039
557614,Nathanaël Mbuku,34,4,Forward,FC Augsburg,/nathanael-mbuku/profil/spieler/557614
610190,Nediljko Labrovic,22,1,Goalkeeper,FC Augsburg,/nediljko-labrovic/profil/spieler/610190
120205,Michael Gregoritsch,11,4,Forward,FC Augsburg,/michael-gregoritsch/profil/spieler/120205
238639,Steve Mounié,15,4,Forward,FC Augsburg,/steve-mounie/profil/spieler/238639
106405,Jeffrey Gouweleeuw,6,2,Defender,FC Augsburg,/jeffrey-gouweleeuw/profil/spieler/106405
569457,Tim Breithaupt,18,3,Midfield,FC Augsburg,/tim-breithaupt/profil/spieler/569457
1162968,Tim Schnitzer,37,3,Midfield,FC Augsburg,/tim-schnitzer/profil/spieler/1162968
675565,Thomas Kastanaras,24,4,Forward,FC Augsburg,/thomas-kastanaras/profil/spieler/675565
1132292,Faik Sakar,23,4,Forward,FC Augsburg,/faik-sakar/profil/spieler/1132292
954082,Tom Wisbereit,48,1,Goalkeeper,FC Augsburg,/tom-wisbereit/profil/spieler/954082
406640,Felix Nmecha,8,3,Midfield,Borussia Dortmund,/felix-nmecha/profil/spieler/406640
388198,Nico Schlotterbeck,4,2,Defender,Borussia Dortmund,/nico-schlotterbeck/profil/spieler/388198
796297,Jobe Bellingham,7,3,Midfield,Borussia Dortmund,/jobe-bellingham/profil/spieler/796297
578392,Maximilian Beier,14,4,Forward,Borussia Dortmund,/maximilian-beier/profil/spieler/578392
257814,Gregor Kobel,1,1,Goalkeeper,Borussia Dortmund,/gregor-kobel/profil/spieler/257814
990148,Konstantinos Karetsas,19,3,Midfield,Borussia Dortmund,/konstantinos-karetsas/profil/spieler/990148
270541,Serhou Guirassy,9,4,Forward,Borussia Dortmund,/serhou-guirassy/profil/spieler/270541
370789,Julian Ryerson,26,2,Defender,Borussia Dortmund,/julian-ryerson/profil/spieler/370789
408574,Joey Veerman,25,3,Midfield,Borussia Dortmund,/joey-veerman/profil/spieler/408574
505653,Fábio Silva,21,4,Forward,Borussia Dortmund,/fabio-silva/profil/spieler/505653
579287,Daniel Svensson,24,2,Defender,Borussia Dortmund,/daniel-svensson/profil/spieler/579287
628331,Giannis Konstantelias,45,3,Midfield,Borussia Dortmund,/giannis-konstantelias/profil/spieler/628331
659459,Carney Chukwuemeka,17,3,Midfield,Borussia Dortmund,/carney-chukwuemeka/profil/spieler/659459
1075577,Joane Gadou,22,2,Defender,Borussia Dortmund,/joane-gadou/profil/spieler/1075577
193004,Waldemar Anton,3,2,Defender,Borussia Dortmund,/waldemar-anton/profil/spieler/193004
1058359,Samuele Inácio,40,4,Forward,Borussia Dortmund,/samuele-inacio/profil/spieler/1058359
1074990,Luca Reggiani,49,2,Defender,Borussia Dortmund,/luca-reggiani/profil/spieler/1074990
1275068,Kauã Prates,36,2,Defender,Borussia Dortmund,/kaua-prates/profil/spieler/1275068
284732,Ramy Bensebaini,5,2,Defender,Borussia Dortmund,/ramy-bensebaini/profil/spieler/284732
106987,Marcel Sabitzer,20,3,Midfield,Borussia Dortmund,/marcel-sabitzer/profil/spieler/106987
1185507,Justin Lerma,28,3,Midfield,Borussia Dortmund,/justin-lerma/profil/spieler/1185507
119296,Emre Can,23,2,Defender,Borussia Dortmund,/emre-can/profil/spieler/119296
883007,Filippo Mane,39,2,Defender,Borussia Dortmund,/filippo-mane/profil/spieler/883007
76158,Alexander Meyer,33,1,Goalkeeper,Borussia Dortmund,/alexander-meyer/profil/spieler/76158
1193849,Mathis Albert,41,4,Forward,Borussia Dortmund,/mathis-albert/profil/spieler/1193849
94192,Patrick Drewes,30,1,Goalkeeper,Borussia Dortmund,/patrick-drewes/profil/spieler/94192
1311594,Enzo dos Santos,44,3,Midfield,Borussia Dortmund,/enzo-dos-santos/profil/spieler/1311594
1141179,Mussa Kaba,48,3,Midfield,Borussia Dortmund,/mussa-kaba/profil/spieler/1141179
684116,Silas Ostrzinski,31,1,Goalkeeper,Borussia Dortmund,/silas-ostrzinski/profil/spieler/684116
1168219,Said El Mala,10,4,Forward,1.FC Köln,/said-el-mala/profil/spieler/1168219
942497,Jahmai Simpson-Pusey,22,2,Defender,1.FC Köln,/jahmai-simpson-pusey/profil/spieler/942497
538964,Thijs Dallinga,27,4,Forward,1.FC Köln,/thijs-dallinga/profil/spieler/538964
416380,Ragnar Ache,9,4,Forward,1.FC Köln,/ragnar-ache/profil/spieler/416380
579565,Ísak Jóhannesson,8,3,Midfield,1.FC Köln,/isak-johannesson/profil/spieler/579565
640556,Rav van den Berg,33,2,Defender,1.FC Köln,/rav-van-den-berg/profil/spieler/640556
592387,Sebastian Sebulonsen,28,2,Defender,1.FC Köln,/sebastian-sebulonsen/profil/spieler/592387
290587,Ellyes Skhiri,6,3,Midfield,1.FC Köln,/ellyes-skhiri/profil/spieler/290587
472249,Jan Thielmann,29,4,Forward,1.FC Köln,/jan-thielmann/profil/spieler/472249
405687,Tom Krauß,5,3,Midfield,1.FC Köln,/tom-krauss/profil/spieler/405687
397171,Gideon Mensah,14,2,Defender,1.FC Köln,/gideon-mensah/profil/spieler/397171
335103,Linton Maina,37,4,Forward,1.FC Köln,/linton-maina/profil/spieler/335103
322517,Joël Schmied,2,2,Defender,1.FC Köln,/joel-schmied/profil/spieler/322517
160929,Marvin Schwäbe,1,1,Goalkeeper,1.FC Köln,/marvin-schwabe/profil/spieler/160929
345189,Luka Lochoshvili,24,2,Defender,1.FC Köln,/luka-lochoshvili/profil/spieler/345189
340166,Alessio Castro-Montes,17,2,Defender,1.FC Köln,/alessio-castro-montes/profil/spieler/340166
744558,Julian Pauli,3,2,Defender,1.FC Köln,/julian-pauli/profil/spieler/744558
196095,Luca Waldschmidt,7,4,Forward,1.FC Köln,/luca-waldschmidt/profil/spieler/196095
116088,Marius Bülter,30,4,Forward,1.FC Köln,/marius-bulter/profil/spieler/116088
236981,Timo Hübers,4,2,Defender,1.FC Köln,/timo-hubers/profil/spieler/236981
1064377,Paul Okon-Engstler,23,3,Midfield,1.FC Köln,/paul-okon-engstler/profil/spieler/1064377
464154,Imad Rondic,0,4,Forward,1.FC Köln,/imad-rondic/profil/spieler/464154
21327,Ron-Robert Zieler,20,1,Goalkeeper,1.FC Köln,/ron-robert-zieler/profil/spieler/21327
795762,Elias Bakatukanda,0,2,Defender,1.FC Köln,/elias-bakatukanda/profil/spieler/795762
1168222,Malek El Mala,19,4,Forward,1.FC Köln,/malek-el-mala/profil/spieler/1168222
227089,Matthias Köbbing,44,1,Goalkeeper,1.FC Köln,/matthias-kobbing/profil/spieler/227089
1056437,Reigan Heskey,11,4,Forward,1.FC Köln,/reigan-heskey/profil/spieler/1056437
1073474,Gil Neves,31,3,Midfield,1.FC Köln,/gil-neves/profil/spieler/1073474
1077676,Martin James,21,1,Goalkeeper,1.FC Köln,/martin-james/profil/spieler/1077676
929943,Francis Onyeka,40,3,Midfield,SV 07 Elversberg,/francis-onyeka/profil/spieler/929943
675535,Noel Futkeu,9,4,Forward,SV 07 Elversberg,/noel-futkeu/profil/spieler/675535
866579,Cole Campbell,39,4,Forward,SV 07 Elversberg,/cole-campbell/profil/spieler/866579
974894,David Mokwa,42,4,Forward,SV 07 Elversberg,/david-mokwa/profil/spieler/974894
897480,Noah Darvich,10,3,Midfield,SV 07 Elversberg,/noah-darvich/profil/spieler/897480
829316,Maurice Krattenmacher,7,4,Forward,SV 07 Elversberg,/maurice-krattenmacher/profil/spieler/829316
401639,Lukas Petkov,25,4,Forward,SV 07 Elversberg,/lukas-petkov/profil/spieler/401639
