player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Myziane Maolida,#11,Left Winger,Hertha BSC,Bundesliga,2,1,-,-,-,-,,,101'
Maximilian Mittelstädt,#17,Left-Back,Hertha BSC,Bundesliga,3,-,1,1,-,-,,,160'
Marvin Plattenhardt,#21,Left-Back,Hertha BSC,Bundesliga,5,-,-,2,-,-,,,405'
Deyovaisio Zeefuik,#42,Right-Back,Hertha BSC,Bundesliga,6,-,-,1,-,-,,,335'
Vladimir Darida,#6,Central Midfield,Hertha BSC,Bundesliga,3,-,2,1,-,-,,,147'
Raphael Framberger,#32,Right-Back,FC Augsburg,Bundesliga,5,-,-,1,-,-,,,279'
Stevan Jovetic,#19,Centre-Forward,Hertha BSC,Bundesliga,4,1,-,-,-,-,,,196'
Davie Selke,#7,Centre-Forward,Hertha BSC,Bundesliga,5,-,-,-,-,-,,,281'
Kevin-Prince Boateng,#27,Attacking Midfield,Hertha BSC,Bundesliga,5,-,-,3,-,-,,,237'
Laurenz Dehl,#29,Attacking Midfield,Union Berlin,UECL Qualifiers,1,-,-,-,-,-,,,6'
Jamie Leweling,#40,Second Striker,Greuther Fürth,Bundesliga,7,1,-,-,-,-,,,89'
Luca Itter,#27,Left-Back,Greuther Fürth,Bundesliga,3,-,-,-,-,-,,,225'
Havard Nielsen,#16,Centre-Forward,Greuther Fürth,Bundesliga,7,-,-,2,-,-,,,521'
Armel Bella Kotchap,#37,Centre-Back,VfL Bochum,Bundesliga,6,-,-,1,-,-,,,532'
Jessic Ngankam,#17,Centre-Forward,Greuther Fürth,,,,,,,,,,
Sebastian Griesbeck,#22,Defensive Midfield,Greuther Fürth,Bundesliga,5,-,-,2,-,-,,,334'
Dickson Abiama,#11,Centre-Forward,Greuther Fürth,Bundesliga,7,-,1,1,-,-,,,292'
Nils Seufert,#8,Central Midfield,Greuther Fürth,Bundesliga,1,-,-,-,-,-,,,58'
Gideon Jung,#23,Centre-Back,Greuther Fürth,Bundesliga,1,-,-,-,-,-,,,90'
Georginio Rutter,#33,Centre-Forward,TSG Hoffenheim,Bundesliga,7,1,1,-,-,-,,,251'
Sebastian Rudy,#16,Defensive Midfield,TSG Hoffenheim,Bundesliga,5,1,-,1,-,-,,,324'
Melayro Bogarde,#32,Centre-Back,TSG Hoffenheim,Regionalliga Südwest,7,-,-,1,-,-,,,507'
Kasim Adams,#15,Centre-Back,TSG Hoffenheim,Bundesliga,-,-,-,-,-,-,,,-
Havard Nordtveit,#6,Centre-Back,TSG Hoffenheim,,,,,,,,,,
Ermin Bicakcic,#4,Centre-Back,TSG Hoffenheim,,,,,,,,,,
Benjamin Hübner,#21,Centre-Back,TSG Hoffenheim,,,,,,,,,,
Joshua Brenet,#2,Right-Back,TSG Hoffenheim,Regionalliga Südwest,5,1,3,1,-,-,,,395'
Nick Viergever,#24,Centre-Back,Greuther Fürth,Bundesliga,4,-,-,1,-,-,,,360'
Philipp Pentke,#12,Goalkeeper,TSG Hoffenheim,DFB-Pokal,1,-,,-,-,-,2,-,120'
Lukas Klünter,#13,Right-Back,Hertha BSC,Bundesliga,3,-,-,-,-,-,,,92'
Lennart Czyborra,#6,Left-Back,Arm. Bielefeld,Bundesliga,3,-,-,1,-,-,,,114'
Tony Jantschke,#24,Centre-Back,Bor. M'gladbach,Bundesliga,1,-,-,-,-,-,,,90'
Keanan Bennetts,#37,Left Midfield,Bor. M'gladbach,Bundesliga,2,-,-,-,-,-,,,36'
Tobias Sippel,#21,Goalkeeper,Bor. M'gladbach,Bundesliga,-,-,,-,-,-,-,-,-
Robin Zentner,#27,Goalkeeper,1.FSV Mainz 05,Bundesliga,7,-,,1,-,-,5,4,630'
Jan Olschowsky,#41,Goalkeeper,Bor. M'gladbach,Regionalliga West,5,-,,-,-,-,4,3,450'
Mamadou Doucouré,#4,Centre-Back,Bor. M'gladbach,,,,,,,,,,
Conor Noß,#34,Second Striker,Bor. M'gladbach,Regionalliga West,5,-,1,1,-,-,,,371'
Jonas Kersken,#46,Goalkeeper,Bor. M'gladbach,Regionalliga West,4,-,,-,-,-,5,1,360'
Jordan Beyer,#15,Centre-Back,Bor. M'gladbach,Bundesliga,4,-,-,2,-,-,,,360'
Janni Serra,#23,Centre-Forward,Arm. Bielefeld,Bundesliga,4,-,-,-,-,-,,,44'
Masaya Okugawa,#11,Left Winger,Arm. Bielefeld,Bundesliga,7,1,-,-,-,-,,,582'
Sebastian Vasiliadis,#39,Central Midfield,Arm. Bielefeld,,,,,,,,,,
Manuel Prietl,#19,Defensive Midfield,Arm. Bielefeld,Bundesliga,7,-,1,1,-,-,,,630'
